PartnerId;CustomerId;CustomerName;CustomerDomainName;CustomerCountry;InvoiceNumber;MpnId;OrderId;OrderDate;ProductId;SkuId;AvailabilityId;SkuName;ProductName;ChargeType;UnitPrice;Quantity;Subtotal;TaxTotal;Total;Currency;PriceAdjustmentDescription;PublisherName;PublisherId;SubscriptionDescription;SubscriptionId;ChargeStartDate;ChargeEndDate;TermAndBillingCycle;EffectiveUnitPrice;UnitType;AlternateId;BillableQuantity;BillingFrequency;PricingCurrency;PCToBCExchangeRate;PCToBCExchangeRateDate;MeterDescription;ReservationOrderId;CreditReasonCode;SubscriptionStartDate;SubscriptionEndDate;ReferenceId;ProductQualifiers;PromotionId
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;2291afd2-1191-4bcb-9906-c1406010941b;Le TEC;letec.be;BE;G028190539;3814564;gahGw0j68qtXkByn3Mh8TIK1wk9lyUuV1;09/04/2023;DZH318Z0C1BN;7;DZH318Z09ZMB;Azure Data Factory v2 Data Flow - General Purpose - vCore - EU North;Azure Data Factory v2 Data Flow - General Purpose;new;0.26575;1;142.0;29.82;171.82;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;5a11e6c2-6207-00aa-b5e9-b558bdf52b55;08/01/2023;08/31/2023;1 vCore Hour;0.2258875;1 Hour;db61a9759bbc;691.0302624288;;USD;0.9097939317;08/31/2023;Azure Data Factory v2 Data Flow - General Purpose - vCore Hours - EU North;c5878b6039ab29fcd404d48488dd81f905d51c0bdf26d43c540cea8b108db9b6;;;;8289c65b-2c41-4a60-9d12-9a6f8f9fac1d;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;a879f9ab-26b1-42af-a98c-51eed899eb05;Insurope SC/CV;insurope.com;BE;G028190539;3814564;54zEnKWq6cjrbsHQ0jqmQawb1_rb365m1;09/04/2023;DZH318Z0BP0B;004N;DZH318Z0FRQG;Files - GRS;Files;new;0.03;1;1.71;0.36;2.07;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;INSUROPE - CSP - BD;5b970a0c-54c7-4b67-d68a-9767490b911e;08/01/2023;08/31/2023;10K Write Operations;0.0255;10K;84c5fac27fe0;73.9179;;USD;0.9097939317;08/31/2023;Files - GRS - 10K Write Operations;9f1d73d78179d7b9a67070ad4aee52f4d081bd7649b61870511775a747175b03;;;;9859a4e7-a4ca-410c-acfc-aa27433889f6;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;2291afd2-1191-4bcb-9906-c1406010941b;Le TEC;letec.be;BE;G028190539;3814564;7aIZgvvCltMhAm4lK1HKS4rliF3wrNX51;09/04/2023;DZH318Z0BP04;86;DZH318XZQPLF;Premium SSD Managed Disks - P10 - EU North;Premium SSD Managed Disks;new;19.71;1;17.1;3.59;20.69;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;5a11e6c2-6207-00aa-b5e9-b558bdf52b55;08/01/2023;08/31/2023;1 Disk/Month;16.7535;1/Month;beecb3eb8035;1.12224;;USD;0.9097939317;08/31/2023;Premium SSD Managed Disks - P10 LRS/Month - EU North;945bd4321ec48b279f699c429563da8ee4c7306944b2e8df702398866acb4e68;;;;cf5fa75a-2286-456e-ba95-54c62b3aa66a;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;623acfca-be21-4b12-a5a2-46ae1feda404;B&D SIDIS Suite;BDSIDIS.onmicrosoft.com;BE;G028190539;3814564;tMeUhVWEk1_yQXi_QVCkT6nhNlrtR4711;09/05/2023;DZH318Z0BPSP;00HB;DZH318Z0KBQW;Virtual Machines Dv2 promo Series - D3 v2 - EU North;Virtual Machines Dv2 promo Series;new;0.263;1;302.57;63.54;366.11;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;d365a709-bdfb-2aed-629f-143f9c7a4757;08/01/2023;08/31/2023;1 Compute Hour;0.22355;1 Hour;3bbdaf69cd06;1487.700354;;USD;0.9097939317;08/31/2023;Virtual Machines Dv2/DSv2 promo Series - D3 v2/DS3 v2 Hours - EU North - Expired;e14ed1a860e8e784e1a14fc72c610b176c676bb7d92d30fae0f825843600e05e;;;;336fe937-b448-4682-85e7-4b2c827e68f2;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;2291afd2-1191-4bcb-9906-c1406010941b;Le TEC;letec.be;BE;G028190539;3814564;6YTUkoMDxsVM7LeqBeaAR7mto1jWsnSP1;09/04/2023;DZH318Z0BNZ5;006F;DZH318XZQRPZ;Tables - GRS;Tables;new;0.00036;1;0.0;0.0;0.0;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;5a11e6c2-6207-00aa-b5e9-b558bdf52b55;08/01/2023;08/31/2023;10K Batch Write Operations;0.000306;10K;d9d4f931017b;16.3728;;USD;0.9097939317;08/31/2023;Tables - GRS - 10K Batch Write Operations;6189a4c9f36dd010ee808789305b52732d3e4a143c2325d27b0a4da470ccb429;;;;1a1150b2-d913-41eb-a0f1-b5e875c93f20;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;2291afd2-1191-4bcb-9906-c1406010941b;Le TEC;letec.be;BE;G028190539;3814564;RKY9aILgYFbHcHXZU12-RZiZbCg1WkT01;09/04/2023;DZH318Z0BXWN;24;DZH318Z0HNBX;SSIS Standard D-series v3 VM - D8 v3;SSIS Standard D-series v3 VM;new;1.158;1;1166.36;244.94;1411.30;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;5a11e6c2-6207-00aa-b5e9-b558bdf52b55;08/01/2023;08/31/2023;1 AHB Hour;0.9843;1 Hour;96cdabcb271b;1302.4666666666;;USD;0.9097939317;08/31/2023;SSIS Standard D-series v3 VM - D8 v3 Hours AHB;fc316153ab1de90a40f2402d4678d5576700c1b62a720f15e6227ccad0a2608d;;;;bec55483-22f7-4889-853d-722f25cf5d3f;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;2291afd2-1191-4bcb-9906-c1406010941b;Le TEC;letec.be;BE;G028190539;3814564;RKY9aILgYFbHcHXZU12-RZiZbCg1WkT01;09/04/2023;DZH318Z0BX2B;1;DZH318Z09HZ5;NAT Gateway;NAT Gateway;new;0.045;1;3.5;0.74;4.24;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;5a11e6c2-6207-00aa-b5e9-b558bdf52b55;08/01/2023;08/31/2023;Data Processed (GB);0.03825;1 GB;96cdabcb271b;100.7901970595;;USD;0.9097939317;08/31/2023;NAT Gateway - Standard GB Data Processed;f3f3de06e9c044bccdf237c6ec600916633b08382e03e0956ae6bf5fbe6cafe3;;;;bec55483-22f7-4889-853d-722f25cf5d3f;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;a879f9ab-26b1-42af-a98c-51eed899eb05;Insurope SC/CV;insurope.com;BE;G028190539;3814564;2JpMgOWdQv-TDOjwUde1SreQWnZrVYBQ1;09/04/2023;DZH318Z0BP09;009R;DZH318XZLX3M;Files v2 - Hot GRS - EU West;Files v2;new;0.056;1;0.0;0.0;0.0;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;INSUROPE - CSP - BD;5b970a0c-54c7-4b67-d68a-9767490b911e;08/01/2023;08/31/2023;Metadata (GB/Month);0.0476;1 GB/Month;181fd3174d38;0.009672;;USD;0.9097939317;08/31/2023;Files v2 - Hot GRS - Metadata (GB/Month) - EU West;9219c4689043375de68770c7479d2dfc4863595ed1e8ead496727db7d25ac9ff;;;;c43363b6-1c53-4d1f-afcd-a50b6b692c71;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;2291afd2-1191-4bcb-9906-c1406010941b;Le TEC;letec.be;BE;G028190539;3814564;1ZdxrJK2VhlvBaEE4kmCSoTtcnnSI37R1;09/04/2023;DZH318Z0BNXH;2;DZH318Z09NBX;Load Balancer;Load Balancer;new;0.025;1;35.81;7.52;43.33;EUR;"[""15.0% Partner earned credit for services managed""]";Microsoft;;Azure plan;5a11e6c2-6207-00aa-b5e9-b558bdf52b55;08/01/2023;08/31/2023;1-5 Included LB Rules and Outbound Rules/Hour;0.02125;1 Hour;484875c90abe;1852.8227777777;;USD;0.9097939317;08/31/2023;Load Balancer - Standard Hours Included LB Rules and Outbound Rules;85589eb29a073e4650eebf9beab5257009e4f473f9912185124c6987e9a82ab2;;;;3346b94d-7486-4289-ab17-badc28f69f39;;
6e5433e0-76fc-44b7-b71b-0e5446a3fa94;4b2e8189-3e18-4366-8fed-dd43943ff501;BD Belux LabX;labx.bdbelux.be;BE;G028190539;3814564;wS5Uh7HiKHkqFp1yrmCDT6W7Rm_e7okd1;09/03/2023;DZH318Z0C120;000M;DZH318Z001XP;General Block Blob v2 Hierarchical Namespace - Hot LRS - EU North;General Block Blob v2 Hierarchical Namespace;new;0.005;1;0.0;0.0;0.0;EUR;"[""15% Partner earned credit for services managed""]";Microsoft;;Azure plan;d24d4861-a282-924e-d25e-4ffc384dfaa1;08/01/2023;08/31/2023;10K Read Operations;0.00425;10K;dd34645db67e;1.7019;;USD;0.9097939317;08/31/2023;General Block Blob v2 Hierarchical Namespace - Hot - 10K Read Operations - EU North;d051d6acdad4249b9aabcec077534b528199582f1ce6554d9485dc242951645e;;;;809dfc99-499b-48aa-bdce-828a105e24e6;;
